Time,From Work to Visit,From Visit to Work,Visit to Visit
0,0.001,0,0
30,0.001,0,0
100,0.001,0,0.001
130,0.001,0,0.001
200,0.001,0,0
230,0.001,0,0
300,0.003,0,0
330,0.003,0,0.002
400,0.003,0.001,0.002
430,0.001,0.004,0.002
500,0.004,0.001,0.002
530,0.005,0.001,0.001
600,0.018,0.001,0
630,0.038,0.001,0.002
700,0.038,0,0.011
730,0.097,0.006,0.016
800,0.084,0.003,0.026
830,0.058,0.005,0.038
900,0.029,0.036,0.046
930,0.015,0.026,0.048
1000,0.032,0.018,0.04
1030,0.011,0.026,0.034
1100,0.009,0.03,0.04
1130,0.008,0.026,0.034
1200,0.007,0.017,0.028
1230,0.008,0.024,0.026
1300,0.007,0.034,0.022
1330,0.006,0.024,0.018
1400,0.001,0.025,0.019
1430,0.004,0.03,0.011
1500,0,0.031,0.009
1530,0.002,0.066,0.009
1600,0,0.035,0.004
1630,0.002,0.013,0.003
1700,0,0.011,0.002
1730,0,0.004,0.001
1800,0,0,0.001
1830,0,0.004,0
1900,0,0,0
1930,0,0,0
2000,0,0,0
2030,0,0,0
2100,0,0,0
2130,0.002,0,0.001
2200,0,0,0
2230,0,0,0
2300,0,0,0.001
2330,0,0,0
